timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,976,720,834,961,979
10,0,-3,965,714,850,976,982
20,0,-4,975,709,839,969,978
30,0,-5,971,707,842,953,978
40,0,-6,967,709,822,976,977
50,0,-7,968,712,842,975,979
60,0,-7,966,679,854,969,961
70,0,-7,975,696,864,967,983
80,0,-7,985,709,861,963,992
90,0,-7,976,749,874,973,985
100,0,-7,960,715,884,964,986
110,0,-6,979,710,896,976,978
120,1,-5,969,718,893,979,987
130,1,-4,981,722,892,971,981
140,1,-3,973,723,912,953,982
150,1,-3,960,711,907,972,976
160,1,-3,967,720,924,976,976
170,1,-3,978,713,891,990,987
180,1,-3,962,719,912,966,977
190,1,-2,971,720,909,976,991
200,1,-1,979,720,910,978,987
210,1,-1,965,745,912,980,976
220,1,-1,976,703,919,976,979
230,1,-1,965,714,927,972,976
240,1,-2,965,725,914,960,983
250,1,-3,976,704,923,974,981
260,1,-4,979,724,913,976,976
270,1,-5,967,701,934,979,977
280,1,-6,979,724,924,979,990
290,1,-7,979,729,944,976,992
300,1,-7,976,739,935,979,977
310,1,-7,976,721,929,982,982
320,1,-8,978,739,954,961,991
330,1,-9,971,731,931,979,978
340,1,-10,973,747,939,974,989
350,2,-11,994,705,933,975,977
360,2,-11,968,719,933,978,981
370,2,-10,974,723,942,977,994
380,1,-9,977,747,944,999,991
390,1,-8,978,725,942,979,976
400,0,-6,982,741,946,990,985
410,0,-5,992,739,939,987,995
420,0,-3,986,727,902,973,981
430,0,-2,979,741,929,966,979
440,0,-1,985,725,927,973,976
450,0,0,976,755,951,974,971
460,0,0,982,730,943,973,977
470,0,0,986,748,928,979,987
480,0,0,982,767,943,953,973
490,0,0,978,730,937,986,985
500,0,0,1001,722,943,972,979
510,0,0,978,734,927,980,979
520,0,0,982,736,939,976,985
530,0,0,988,743,934,975,981
540,0,0,998,742,933,999,981
550,0,0,967,737,918,987,976
560,-1,1,978,752,932,963,990
570,-1,2,989,721,938,971,981
580,-1,3,1005,747,921,967,976
590,-1,3,1003,722,911,987,978
600,-1,3,983,721,916,986,978
610,-1,3,976,752,912,971,976
620,-1,3,988,731,914,975,976
630,-1,3,990,731,889,998,979
640,-1,3,981,717,878,983,975
650,-1,3,971,720,875,986,976
660,-1,3,979,689,871,970,977
670,-1,3,971,731,836,976,974
680,-1,3,1055,736,875,974,979
690,0,3,983,715,866,977,987
700,0,3,982,724,862,976,982
710,0,3,960,724,859,976,982
720,0,3,987,755,851,986,944
730,0,3,979,738,849,976,976
740,0,3,979,722,873,976,976
750,0,3,978,698,859,977,962
760,0,3,989,711,858,982,987
770,0,3,980,717,865,969,976
780,0,3,980,730,849,977,978
790,0,3,976,715,847,974,981
800,0,3,971,721,869,1011,979
810,0,3,976,754,854,973,977
820,0,3,976,722,843,958,953
830,0,3,980,737,865,977,975
840,0,3,985,719,870,988,981
850,0,2,972,727,859,975,983
860,0,1,976,737,848,971,976
870,0,0,981,720,853,976,977
880,0,0,995,707,847,971,958
890,0,0,976,720,870,976,976
900,0,0,988,725,849,974,986
910,0,0,989,725,862,986,982
920,0,0,995,724,828,979,977
930,0,0,973,754,864,976,990
940,0,0,985,721,859,980,982
950,0,0,959,726,863,981,1006
960,0,0,996,727,863,989,977
970,0,0,997,735,852,977,976
980,0,0,995,724,848,978,986
990,0,0,999,733,848,976,978
