timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,1011,781,849,967,980
10,0,-3,976,779,929,976,976
20,0,-4,992,771,849,957,997
30,0,-5,987,768,838,971,981
40,0,-6,995,770,849,976,965
50,0,-6,978,798,839,976,972
60,0,-6,983,770,845,976,976
70,0,-6,994,780,868,967,981
80,0,-6,991,777,851,979,986
90,0,-6,1003,777,853,972,974
100,0,-6,994,799,842,979,976
110,0,-6,979,792,876,969,976
120,0,-6,987,803,880,972,979
130,0,-5,990,811,848,966,985
140,0,-4,995,767,855,962,978
150,0,-3,1000,768,867,958,982
160,0,-2,994,767,882,964,975
170,0,-1,938,782,889,963,983
180,0,0,1001,755,908,971,981
190,0,0,1007,768,896,967,978
200,0,0,1040,761,897,951,976
210,0,0,992,784,905,976,977
220,0,0,996,768,899,964,976
230,0,0,1006,770,912,927,976
240,0,0,1005,784,906,975,978
250,0,-1,1035,771,914,960,977
260,0,-2,1011,778,935,977,994
270,0,-4,1009,775,930,984,978
280,0,-5,1007,772,944,952,978
290,0,-3,1005,754,929,973,975
300,0,-1,989,803,913,976,968
310,0,0,1008,814,944,972,973
320,0,1,1015,788,932,973,975
330,0,2,1008,780,947,963,976
340,0,3,1008,831,966,968,995
350,0,3,985,789,925,969,976
360,0,3,1006,817,933,953,975
370,0,2,1008,789,923,970,981
380,0,1,1043,783,928,976,976
390,0,0,1017,791,926,995,991
400,0,0,1021,784,938,976,977
410,0,0,994,801,935,976,998
420,0,0,1008,798,928,961,977
430,0,0,1030,788,929,976,982
440,0,1,1021,795,945,927,975
450,0,2,999,794,906,973,977
460,0,3,976,779,898,962,976
470,0,4,1018,785,883,923,974
480,0,4,994,786,878,969,979
490,0,4,999,783,860,966,971
500,0,4,1006,778,861,967,977
510,0,4,989,779,861,964,976
520,0,4,1005,768,880,971,975
530,0,4,995,784,854,970,976
540,0,3,999,775,858,966,973
550,0,2,990,785,847,983,963
560,0,1,999,780,847,971,983
570,0,0,966,769,839,970,983
580,0,0,981,758,863,965,977
590,0,0,982,765,848,960,975
600,0,0,987,756,845,967,976
610,0,0,991,777,846,972,990
620,0,0,1004,775,847,962,987
630,0,0,990,749,861,980,994
640,0,0,982,784,839,976,983
650,0,0,986,767,848,960,987
660,0,0,985,771,835,976,975
670,0,0,995,782,840,962,976
680,0,0,983,766,834,959,971
690,0,0,989,778,846,974,976
700,0,0,977,753,860,976,991
710,0,0,1000,781,845,983,982
720,0,0,997,767,846,973,976
730,0,0,988,765,848,965,949
740,0,0,995,784,859,961,977
750,0,0,997,779,848,970,990
760,0,0,1003,782,846,979,976
770,0,0,1003,786,848,979,976
780,0,0,989,751,848,955,976
790,0,0,1006,774,867,967,980
800,0,0,951,791,848,961,982
810,0,0,935,775,823,975,977
820,0,0,983,768,853,972,975
830,0,0,965,784,834,986,999
840,0,0,999,779,850,961,976
850,0,0,989,773,848,970,977
860,0,0,1003,784,875,984,972
870,0,0,995,771,851,960,987
880,0,0,974,773,848,965,962
890,0,0,1008,783,859,981,976
900,0,0,991,775,852,981,976
910,0,0,967,757,823,978,919
920,0,0,991,767,850,960,976
930,0,0,1001,777,849,971,975
940,0,0,987,784,848,969,980
950,0,0,1003,782,855,989,978
960,0,0,984,767,848,963,976
970,0,0,983,729,852,989,978
980,0,0,992,772,853,973,980
990,0,0,990,781,851,969,976
